"Subscription couldn't be canceled","Tilausta ei voitu peruuttaa"
"Subscription has been canceled correctly","Tilaus on peruutettu"
"Subscription is closed","Tilaus on suljettu"
"Payment methods can't be shown","Maksutapoja ei voi näyttää"
"Subscription orders can't be shown","Tilaustilauksia ei voida näyttää"
"Card not found","Korttia ei löydy"
"The payment token doesn't belong to the customer", "Maksutunnus ei kuulu asiakkaalle"
"The subscription doesn't belong to the customer", "Tilaus ei kuulu asiakkaalle"
"The card has active subscriptions","Kortilla on aktiivisia tilauksia"
"Error while cancelling order. Please contact customer support with order id: %id to release discount coupons.","Virhe tilauksen peruutuksessa. Ota yhteysasiakaspalveluun tilausnumeron %id kanssa, jotta tilauksen alennuskupongit voidaan palauttaa"
"Error while payment process. Please contact customer support with order id: %id","Virhe maksutapahtumassa. Ota yhteys asiakaspalveluun tilausnumeron %id kanssa."
"My Subscriptions","Toistuvat tilaukseni"
"You have no payments to display.","Ei toistuvia tilauksia."
